k new(unsat) heuristics(unsat) standard(unsat) new(sat) heuristics(sat) standard(sat)
1   0.37    0.54    1.24    1.12    1.52    2.62 
2   1.48    2.15    317.22  2.40    3.13    38.19
3   8.33    14.98   22688.95	5.36	11.57	6771.18
4   94.66   124.28  108000  16.40   57.68   108000
5   1098.63 1278.40 108000  64.99   140.64  108000
