k new(unsat) heuristics(unsat) standard(unsat) new(sat) heuristics(sat) standard(sat)
1   1.18    1.81    786.58  2.59    5.67    1062.09
2   29.74   31.76   108000  7.60    28.87   108000
3   851.47  729.93  -	165.07	360.23	-
4   11736.80	11228.41    -	383.52	4630.00	-
5   93326.38	108000	-   14373.01	68224.44    -
