k new(unsat) heuristics(unsat) standard(unsat) new(sat) heuristics(sat) standard(sat)
1   0.82    1.28    12.01   1.38    1.88    2.75
2   29.14   35.83   108000  14.03   30.21   40016.59
3   382.83  389.34  -	59.64	282.89	-
4   5359.49 7687.09 -	580.47	5763.48	-
5   60918.94	58087.00    -	834.44	43635.96    -
