k new(unsat) heuristics(unsat) standard(unsat) new(sat) heuristics(sat) standard(sat)
1   0.20    0.38    1.82    1.36    2.29    3.12
2   11.69   4.71    1022.98 7.09    9.29    218.94
3   90.06   33.09   108000  113.90  41.76   50420.57
4   555.16  401.27  -  428.86  375.38  108000
5   3187.93 2465.69 -	1468.34	1767.21	-
