k new(unsat) heuristics(unsat) standard(unsat) new(sat) heuristics(sat) standard(sat)
1   0.20    0.45    1.84    0.56    0.89    1.24
2   3.12    6.40    217.17  1.48    6.06    102.51
3   27.34   49.94   21874.82	6.09	43.50	14794.61
4   188.36  574.67  108000  34.93   452.44  108000
5   1406.45 3279.90 -	457.75	2539.44	-
