k new(unsat) heuristics(unsat) standard(unsat) new(sat) heuristics(sat) standard(sat)
1   1.22    2.59    552.68  1.68    3.45    236.95
2   34.50   48.27   108000	13.51	43.78	108000
3   816.71  812.33  -	63.20	724.19	-
4   7651.68 11038.87	-   2785.33 10757.28	-
5   74980.37	108000   -	70303.00    108000	-
